module,type,name,res_id,src,value
account,wizard_field,"account.general.ledger.report,checktype,date_from",0,           Start date,开始日期
account,wizard_field,"account.partner.balance.report,init,date1",0,          Start date,开始日期
account,wizard_field,"account.third_party_ledger.report,init,date1",0,        Start date,开始日期
account,wizard_field,"account.third_party_ledger.report,init,reconcil",0,       Include Reconciled Entries,包括核销凭证
account,wizard_view,"account.fiscalyear.close.state,init",0, Close states of Fiscal year and periods,会计年度和周期关闭状态
account,field,"wizard.multi.charts.accounts,code_digits",0,# of Digits,数字
account,wizard_field,"account.move.line.reconcile,init_full,trans_nbr",0,# of Transaction,交易号
account,wizard_field,"account.move.line.reconcile,init_partial,trans_nbr",0,# of Transaction,交易号
account,rml,account.tax.code.entries,0,(,(
account,wizard_view,"account.chart,init",0,(If you do not select Fiscal year it will take all open fiscal years),如果你不选择会计年度将使用所有打开的会计年度
account,wizard_view,"account.wizard_paid_open,init",0,(Invoice should be unreconciled if you want to open it),(如果你打开它发票将不核销)
account,wizard_view,"account.account.balance.report,checktype",0,(Keep empty for all open fiscal years),(留空为所有打开会计年度)
account,wizard_view,"account.general.ledger.report,checktype",0,(Keep empty for all open fiscal years),(留空为所有打开会计年度)
account,wizard_view,"account.partner.balance.report,init",0,(Keep empty for all open fiscal years),(留空为所有打开会计年度)
account,wizard_view,"account.third_party_ledger.report,init",0,(Keep empty for all open fiscal years),(留空为所有打开会计年度)
account,wizard_view,"account.analytic.line,init",0,(Keep empty to open the current situation),(留空为待处理当前状况)
account,view,account.invoice,0,(keep empty to use the current period),(留空为表示当前期间)
account,rml,account.tax.code.entries,0,),)
account,rml,account.analytic.account.journal,0,-,-
account,rml,account.third_party_ledger,0,-,-
account,rml,account.overdue,0,.,
account,rml,account.third_party_ledger,0,/,
account,rml,account.account.balance,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.analytic.account.analytic.check,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.analytic.account.balance,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.analytic.account.inverted.balance,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.analytic.account.journal,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.general.ledger,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.journal.period.print,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.partner.balance,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.tax.code.entries,0,1cm 27.7cm 20cm 27.7cm,
